SourceName,RptSrc,SrcEPAID,DestinationName,DestType,DestEPAID,QuarterYear,LubeOil,IndOil,Total
Clean Harbors Environmental Services,Hauler,MAD039322250,Clean Harbors El Dorado LLC,Recycler,ARD069748192,July - September 2006,154,,154
Clean Harbors Environmental Services,Hauler,MAD039322250,Clean Harbors_ San Jose_ LLC,Recycler,CAD059494310,July - September 2006,50349,,50349
Clean Harbors Environmental Services,Hauler,MAD039322250,Clean Harbors_ Los Angeles_ LLC,Recycler,CAD050806850,July - September 2006,50089,,50089
Clean Harbors Environmental Services,Hauler,MAD039322250,Clean Harbors_ Wilmington,Recycler,CAD044429835,July - September 2006,1666,,1666
Clean Tech Environmental,Hauler,CAD008493322,Veoliaes (formerly) Onyx Environmental Servic,Recycler,CAD008302903,July - September 2006,477700,,477700
Clearwater Environmental Management,Hauler,CAR000007013,Clearwater Services (Clearwater Environmental,Recycler,NVD982358483,July - September 2006,150000,,150000
Clearwater Environmental Management,Hauler,CAR000007013,Alviso Independent Oil_ Inc.,Transfer Station,CAL000161743,July - September 2006,852982,,852982
Cole's Services_ Inc.,Hauler,CAL000268462,Demenno/Kerdoon,Recycler,CAT080013352,July - September 2006,96799,,96799
Cole's Services_ Inc.,Hauler,CAL000268462,Industrial Service Oil Company_ Inc.,Recycler,CAD099452708,July - September 2006,20288,,20288
Crane's Waste Oil_ Inc.,Hauler,CAD980813950,Demenno/Kerdoon,Recycler,CAT080013352,July - September 2006,2000,,2000
Crane's Waste Oil_ Inc.,Hauler,CAD980813950,Industrial Service Oil Company_ Inc.,Recycler,CAD099452708,July - September 2006,127802,,127802
Crane's Waste Oil_ Inc.,Hauler,CAD980813950,Mesa Oil_ Inc.,Recycler,AZR000033881,July - September 2006,89060,,89060
D   R Oil Company,Hauler,CAL000253903,Industrial Service Oil Company_ Inc.,Recycler,CAD099452708,July - September 2006,60115,,60115
Ecology Control Industries_ Inc.,Hauler,CAD982030173,Demenno/Kerdoon,Recycler,CAT080013352,July - September 2006,3860,,3860
EFR Environmental Services Inc.,Hauler,CAR000011205,Dome Rock Industries,Recycler,AZR000035915,July - September 2006,12180,,12180
Evergreen Environmental Services (Newark),Hauler,CAD982413262,Evergreen Oil,Recycler,CAD980887418,July - September 2006,3338432,,3338432
Evergreen Environmental Services (Newark),Hauler,CAD982413262,Evergreen Environmental Services (Carson),Recycler,CAD981696420,July - September 2006,1628049,,1628049
Express Environmental Corp._dba Express Oil,Hauler,CAL000264806,Demenno/Kerdoon,Recycler,CAT080013352,July - September 2006,182135,,182135
Filter Recycling Services_ Inc.,Hauler,CAD982444481,Liquid Titan LLC,Recycler,AZR000500587,July - September 2006,170500,,170500
Fremouw Environmental Services,Hauler,CAR000171017,Ramos Environmental Services,Hauler,CAD044003556,July - September 2006,8725,,8725
Fremouw Environmental Services,Hauler,CAR000171017,Oil Re-Refining Company_ Inc. (ORRCO) - Klamath Fa,Recycler,ORD980980775,July - September 2006,180075,,180075
Fremouw Environmental Services,Hauler,CAR000171017,Ramos Environmental Services,Transfer Station,CAD044003556,July - September 2006,8725,,8725
Haz Mat Trans_ Inc.,Hauler,CAT080012800,Demenno/Kerdoon,Recycler,CAT080013352,July - September 2006,7266,,7266
J.B. Trans Services_Inc (dba) All Phase Env.,Hauler,CAL000253361,Industrial Service Oil Company_ Inc.,Recycler,CAD099452708,July - September 2006,502805,,502805
Jack Stone Drainage Oil Service,Hauler,CAD080075096,Industrial Service Oil Company_ Inc.,Recycler,CAD099452708,July - September 2006,183550,,183550
JSE Environmental Services,Hauler,CAL000827857,Industrial Service Oil Company_ Inc.,Recycler,CAD099452708,July - September 2006,14274,,14274
Kern Oil Filter Recycling,Hauler,CAL000327867,Butler_ J.W._ Oil_ Inc.,Hauler,CAD981426539,July - September 2006,3790,,3790
Kern Oil Filter Recycling,Hauler,CAL000327867,Industrial Service Oil Company_ Inc.,Recycler,CAD099452708,July - September 2006,72535,,72535
Kern Oil Filter Recycling,Hauler,CAL000327867,Butler_ J.W._ Oil_ Inc.,Transfer Station,CAD981426539,July - September 2006,3790,,3790
Knight_ Jim_ Drain Oil Service,Hauler,CAL000027718,Demenno/Kerdoon,Recycler,CAT080013352,July - September 2006,4010,,4010
Knight_ Jim_ Drain Oil Service,Hauler,CAL000027718,Industrial Service Oil Company_ Inc.,Recycler,CAD099452708,July - September 2006,400,,400
Knight_ Jim_ Drain Oil Service,Hauler,CAL000027718,Evergreen Environmental Services (Carson),Recycler,CAD981696420,July - September 2006,213925,,213925
Los Angeles Pumping,Hauler,CAR000201459,Butler_ J.W._ Oil_ Inc.,Hauler,CAD981426539,July - September 2006,95720,,95720
Los Angeles Pumping,Hauler,CAR000201459,Industrial Service Oil Company_ Inc.,Recycler,CAD099452708,July - September 2006,200,,200
Los Angeles Pumping,Hauler,CAR000201459,Butler_ J.W._ Oil_ Inc.,Transfer Station,CAD981426539,July - September 2006,95720,,95720
Lowry_ George W._ Inc.,Hauler,CAR000047019,Riverbank Oil Transfer,Recycler,CAL000190816,July - September 2006,90210,,90210
Lowry_ George W._ Inc.,Hauler,CAR000047019,Riverbank Oil Transfer,Transfer Station,CAL000190816,July - September 2006,90210,,90210
Maximum Oil Service,Hauler,CAL000188867,Ramos Environmental Services,Hauler,CAD044003556,July - September 2006,84440,,84440
Maximum Oil Service,Hauler,CAL000188867,Riverbank Oil Transfer,Recycler,CAL000190816,July - September 2006,2390,,2390
Maximum Oil Service,Hauler,CAL000188867,Alviso Independent Oil_ Inc.,Transfer Station,CAL000161743,July - September 2006,27990,,27990
Maximum Oil Service,Hauler,CAL000188867,Ramos Environmental Services,Transfer Station,CAD044003556,July - September 2006,84440,,84440
Maximum Oil Service,Hauler,CAL000188867,Riverbank Oil Transfer,Transfer Station,CAL000190816,July - September 2006,2390,,2390
Millennium Waste Oil,Hauler,CAL000293834,Butler_ J.W._ Oil_ Inc.,Hauler,CAD981426539,July - September 2006,33800,,33800
Millennium Waste Oil,Hauler,CAL000293834,Demenno/Kerdoon,Recycler,CAT080013352,July - September 2006,113000,,113000
Millennium Waste Oil,Hauler,CAL000293834,Butler_ J.W._ Oil_ Inc.,Transfer Station,CAD981426539,July - September 2006,33800,,33800
North Valley Oil Company,Hauler,CAL000027759,Alviso Independent Oil_ Inc.,Transfer Station,CAL000161743,July - September 2006,41216,,41216
Oil Conservation Service,Hauler,CAD980673842,Riverbank Oil Transfer,Recycler,CAL000190816,July - September 2006,20523,,20523
Oil Conservation Service,Hauler,CAD980673842,Riverbank Oil Transfer,Transfer Station,CAL000190816,July - September 2006,20523,,20523
Pacific Oil Company,Hauler,CAD983615501,Copper Mountain Landfill,Recycler,AZC951206114,July - September 2006,7750,,7750
Patriot Environmental Services,Hauler,CAD053866794,Demenno/Kerdoon,Recycler,CAT080013352,July - September 2006,4802,,4802
Philip Services Corp.(Philip West Ind Svcs),Hauler,CAD980584510,Evergreen Environmental Services,Recycler,CAD982446858,July - September 2006,91325,,91325
PSC Environmental Services of Pomona LP,Hauler,CAR000053405,Demenno/Kerdoon,Recycler,CAT080013352,July - September 2006,1316,,1316
Rae-Vac Pumping,Hauler,CAR000053272,Evergreen Environmental Services (Carson),Recycler,CAD981696420,July - September 2006,37195,,37195
Ramos Environmental Services,Hauler,CAD044003556,Ramos Environmental Services,Hauler,CAD044003556,July - September 2006,295361,,295361
Ramos Environmental Services,Hauler,CAD044003556,Ramos Environmental Services,Transfer Station,CAD044003556,July - September 2006,295361,,295361
RCA Oil Recovery,Hauler,CAD981385149,Evergreen Oil,Recycler,CAD980887418,July - September 2006,50517,,50517
Real Deal Waste Oil Service,Hauler,CAL000280873,Industrial Service Oil Company_ Inc.,Recycler,CAD099452708,July - September 2006,112947,,112947
Recycle-It Environmental Services,Hauler,CAL000280060,Industrial Service Oil Company_ Inc.,Recycler,CAD099452708,July - September 2006,110810,,110810
Romic Environmental Technologies Corporation,Hauler,CAD009452657,Evergreen Oil,Recycler,CAD980887418,July - September 2006,7119,,7119
Sacramento Waste Oil,Hauler,CAL913534912,Ramos Environmental Services,Hauler,CAD044003556,July - September 2006,51515,,51515
Sacramento Waste Oil,Hauler,CAL913534912,Ramos Environmental Services,Transfer Station,CAD044003556,July - September 2006,51515,,51515
San Fernando Oil,Hauler,CAL000301304,Butler_ J.W._ Oil_ Inc.,Hauler,CAD981426539,July - September 2006,15280,,15280
San Fernando Oil,Hauler,CAL000301304,Evergreen Environmental Services (Carson),Recycler,CAD981696420,July - September 2006,27760,,27760
San Fernando Oil,Hauler,CAL000301304,Butler_ J.W._ Oil_ Inc.,Transfer Station,CAD981426539,July - September 2006,15280,,15280
San Joaquin Filter Recycling,Hauler,CAL000188148,San Joaquin Filter Recycling,Hauler,CAL000102751,July - September 2006,234934,,234934
San Joaquin Filter Recycling,Hauler,CAL000188148,San Joaquin Filter Recycling,Transfer Station,CAL000102751,July - September 2006,234934,,234934
Starlite Reclamation,Hauler,CAL000063809,Butler_ J.W._ Oil_ Inc.,Hauler,CAD981426539,July - September 2006,68983,,68983
Starlite Reclamation,Hauler,CAL000063809,Butler_ J.W._ Oil_ Inc.,Transfer Station,CAD981426539,July - September 2006,68983,,68983
Swift Oil   Vacuum_ Inc.,Hauler,CAD982488470,Industrial Service Oil Company_ Inc.,Recycler,CAD099452708,July - September 2006,103475,,103475
Tadeo_ Ricardo D. Waste Oil Service,Hauler,CAD981634363,Demenno/Kerdoon,Recycler,CAT080013352,July - September 2006,193660,,193660
Thermo Fluids - Phoenix,Hauler,AZR000003681,Thermo Fluids - Phoenix,Hauler,AZR000003681,July - September 2006,750,,750
Thermo Fluids - Phoenix,Hauler,AZR000003681,Thermo Fluids - Phoenix,Recycler,AZR000003681,July - September 2006,750,,750
TTS Environmental_ Inc.,Hauler,CAD981694722,Oil Re-Refining Company_ Inc. (ORRCO) - Klamath Fa,Recycler,ORD980980775,July - September 2006,109245,,109245
Universal Waste Oil Company,Hauler,CAL000183236,Industrial Service Oil Company_ Inc.,Recycler,CAD099452708,July - September 2006,87965,,87965
Western Environmental Services,Hauler,CAR000159681,Demenno/Kerdoon,Recycler,CAT080013352,July - September 2006,1304,,1304
Action Waste Oil Service_ LLC,Hauler,CAL000280876,Industrial Service Oil Company_ Inc.,Recycler,CAD099452708,October - December 2006,193981,,193981
Advanced Environmental_ Inc.,Recycler,CAT080025711,Demenno/Kerdoon,Recycler,CAT080013352,October - December 2006,,,2583234
Advanced Industrial Recycling,Hauler,CAR000056580,Evergreen Environmental Services (Carson),Recycler,CAD981696420,October - December 2006,11564,,11564
Alarcon's_ Mark_ Waste Oil Service,Hauler,CAD980814446,Demenno/Kerdoon,Recycler,CAT080013352,October - December 2006,37505,,37505
All Petroleum Recovery Service LLC,Hauler,CAD981377633,Alviso Independent Oil_ Inc.,Transfer Station,CAL000161743,October - December 2006,114190,,114190
All Valley Disposal Inc.,Hauler,CAR000181586,Ramos Environmental Services,Hauler,CAD044003556,October - December 2006,58056,,58056
All Valley Disposal Inc.,Hauler,CAR000181586,Riverbank Oil Transfer,Recycler,CAL000190816,October - December 2006,1010,,1010
All Valley Disposal Inc.,Hauler,CAR000181586,Ramos Environmental Services,Transfer Station,CAD044003556,October - December 2006,58056,,58056
All Valley Disposal Inc.,Hauler,CAR000181586,Riverbank Oil Transfer,Transfer Station,CAL000190816,October - December 2006,1010,,1010
All Valley Environmental,Hauler,CAL000263169,Industrial Service Oil Company_ Inc.,Recycler,CAD099452708,October - December 2006,32090,,32090
Amberwick Corporation,Hauler,CAR000172189,Demenno/Kerdoon,Recycler,CAT080013352,October - December 2006,560,,560
Amberwick Corporation,Hauler,CAR000172189,US Ecology,Recycler,NVT330010000,October - December 2006,275,,275
Amberwick Corporation,Hauler,CAR000172189,Evergreen Environmental Services (Carson),Recycler,CAD981696420,October - December 2006,18370,,18370
American Oil Company,Hauler,CAD981427669,Demenno/Kerdoon,Recycler,CAT080013352,October - December 2006,450,,450
American Oil Company,Hauler,CAD981427669,Industrial Service Oil Company_ Inc.,Recycler,CAD099452708,October - December 2006,311375,,311375
American Valley Waste Oil,Hauler,CAL000827878,Riverbank Oil Transfer,Recycler,CAL000190816,October - December 2006,390790,,390790
American Valley Waste Oil,Hauler,CAL000827878,Riverbank Oil Transfer,Transfer Station,CAL000190816,October - December 2006,390790,,390790
Arens Environmental Services,Hauler,CAR000162701,Ramos Environmental Services,Hauler,CAD044003556,October - December 2006,39873,,39873
Arens Environmental Services,Hauler,CAR000162701,Ramos Environmental Services,Transfer Station,CAD044003556,October - December 2006,39873,,39873
Asbury Environmental Services-Compton,Hauler,CAD028277036,Demenno/Kerdoon,Recycler,CAT080013352,October - December 2006,9996435,,9996435
Avalon Environmental Services,Hauler,CAL000293418,Butler_ J.W._ Oil_ Inc.,Hauler,CAD981426539,October - December 2006,38915,,38915
Avalon Environmental Services,Hauler,CAL000293418,Evergreen Environmental Services (Carson),Recycler,CAD981696420,October - December 2006,1205,,1205
Avalon Environmental Services,Hauler,CAL000293418,Butler_ J.W._ Oil_ Inc.,Transfer Station,CAD981426539,October - December 2006,38915,,38915
Bayside Oil II_ Inc.,Hauler,CAD088838222,Bayside Oil II_ Inc.,Hauler,CAD088838222,October - December 2006,116110,,116110
Bayside Oil II_ Inc.,Hauler,CAD088838222,Bayside Oil II_ Inc.,Transfer Station,CAD088838222,October - December 2006,116110,,116110
Black Star Oil Company,Hauler,CAL912823785,Demenno/Kerdoon,Recycler,CAT080013352,October - December 2006,2495,,2495
Black Star Oil Company,Hauler,CAL912823785,Evergreen Environmental Services (Carson),Recycler,CAD981696420,October - December 2006,243320,,243320
Butler_ J.W._ Oil_ Inc.,Hauler,CAD981426539,Butler_ J.W._ Oil_ Inc.,Hauler,CAD981426539,October - December 2006,547836,,547836
Butler_ J.W._ Oil_ Inc.,Hauler,CAD981426539,Butler_ J.W._ Oil_ Inc.,Transfer Station,CAD981426539,October - December 2006,547836,,547836
California Cool,Hauler,CAL000266863,Evergreen Environmental Services (Carson),Recycler,CAD981696420,October - December 2006,48240,,48240
California Oil Transport_ Inc.,Hauler,CAL000287430,Demenno/Kerdoon,Recycler,CAT080013352,October - December 2006,1858335,,1858335
Carrs Waste Oil Service,Hauler,CAL000280677,Industrial Service Oil Company_ Inc.,Recycler,CAD099452708,October - December 2006,15333,,15333
Carrs Waste Oil Service,Hauler,CAL000280677,Evergreen Environmental Services (Carson),Recycler,CAD981696420,October - December 2006,52422,,52422
Chico Drain Oil,Hauler,CAD980694103,Chico Drain Oil,Hauler,CAD980694103,October - December 2006,682433,,682433
Chico Drain Oil,Hauler,CAD980694103,Asbury Environmental Services-Fortuna,Recycler,CAL930256136,October - December 2006,90835,,90835
Chico Drain Oil,Hauler,CAD980694103,Chico Drain Oil,Transfer Station,CAD980694103,October - December 2006,682433,,682433
Clean Harbors Environmental Services,Hauler,MAD039322250,Evergreen Oil,Recycler,CAD980887418,October - December 2006,26439,,26439
Clean Harbors Environmental Services,Hauler,MAD039322250,Demenno/Kerdoon,Recycler,CAT080013352,October - December 2006,28287,,28287
Clean Harbors Environmental Services,Hauler,MAD039322250,Clean Harbors Aragonite,Recycler,UDT981552177,October - December 2006,11945,,11945
Clean Harbors Environmental Services,Hauler,MAD039322250,Clean Harbors El Dorado LLC,Recycler,ARD069748192,October - December 2006,857,,857
Clean Harbors Environmental Services,Hauler,MAD039322250,Clean Harbors_ San Jose_ LLC,Recycler,CAD059494310,October - December 2006,34259,,34259
Clean Harbors Environmental Services,Hauler,MAD039322250,Clean Harbors_ Los Angeles_ LLC,Recycler,CAD050806850,October - December 2006,46467,,46467
Clean Harbors Environmental Services,Hauler,MAD039322250,Clean Harbors_ Wilmington,Recycler,CAD044429835,October - December 2006,9259,,9259
Clean Tech Environmental,Hauler,CAD008493322,Veoliaes (formerly) Onyx Environmental Servic,Recycler,CAD008302903,October - December 2006,513190,,513190
Clearwater Environmental Management,Hauler,CAR000007013,Clearwater Services (Clearwater Environmental,Recycler,NVD982358483,October - December 2006,150000,,150000
Clearwater Environmental Management,Hauler,CAR000007013,Alviso Independent Oil_ Inc.,Transfer Station,CAL000161743,October - December 2006,786005,,786005
Cole's Services_ Inc.,Hauler,CAL000268462,Demenno/Kerdoon,Recycler,CAT080013352,October - December 2006,106122,,106122
Crane's Waste Oil_ Inc.,Hauler,CAD980813950,Demenno/Kerdoon,Recycler,CAT080013352,October - December 2006,5834,,5834
Crane's Waste Oil_ Inc.,Hauler,CAD980813950,Industrial Service Oil Company_ Inc.,Recycler,CAD099452708,October - December 2006,96950,,96950
Crane's Waste Oil_ Inc.,Hauler,CAD980813950,Mesa Oil_ Inc.,Recycler,AZR000033881,October - December 2006,88500,,88500
D   R Oil Company,Hauler,CAL000253903,Industrial Service Oil Company_ Inc.,Recycler,CAD099452708,October - December 2006,53940,,53940
Ecology Control Industries_ Inc.,Hauler,CAD982030173,Demenno/Kerdoon,Recycler,CAT080013352,October - December 2006,2475,,2475
EFR Environmental Services Inc.,Hauler,CAR000011205,Dome Rock Industries,Recycler,AZR000035915,October - December 2006,10990,,10990
Evergreen Environmental Services (Newark),Hauler,CAD982413262,Evergreen Oil,Recycler,CAD980887418,October - December 2006,3271741,,3271741
Evergreen Environmental Services (Newark),Hauler,CAD982413262,Evergreen Environmental Services (Carson),Recycler,CAD981696420,October - December 2006,1773195,,1773195
Express Environmental Corp._dba Express Oil,Hauler,CAL000264806,Demenno/Kerdoon,Recycler,CAT080013352,October - December 2006,181867,,181867
Filter Recycling Services_ Inc.,Hauler,CAD982444481,Liquid Titan LLC,Recycler,AZR000500587,October - December 2006,121200,,121200
Fremouw Environmental Services,Hauler,CAR000171017,Ramos Environmental Services,Hauler,CAD044003556,October - December 2006,9525,,9525
Fremouw Environmental Services,Hauler,CAR000171017,Oil Re-Refining Company_ Inc. (ORRCO) - Klamath Fa,Recycler,ORD980980775,October - December 2006,173780,,173780
Fremouw Environmental Services,Hauler,CAR000171017,Ramos Environmental Services,Transfer Station,CAD044003556,October - December 2006,9525,,9525
Glyco Environmental Services,Hauler,CAL000309743,Demenno/Kerdoon,Recycler,CAT080013352,October - December 2006,7850,,7850
Golden West Oil Company,Hauler,CAD980893325,Advanced Environmental_ Inc.,Recycler,CAT080025711,October - December 2006,137640,,137640
Golden West Oil Company,Hauler,CAD980893325,Advanced Environmental_ Inc.,Transfer Station,CAT080025711,October - December 2006,137640,,137640
Haz Mat Trans_ Inc.,Hauler,CAT080012800,Demenno/Kerdoon,Recycler,CAT080013352,October - December 2006,2698,,2698
Hazardous Technologies,Hauler,CAR000168229,Demenno/Kerdoon,Recycler,CAT080013352,October - December 2006,782,,782
J.B. Trans Services_Inc (dba) All Phase Env.,Hauler,CAL000253361,Industrial Service Oil Company_ Inc.,Recycler,CAD099452708,October - December 2006,410234,,410234
Jack Stone Drainage Oil Service,Hauler,CAD080075096,Industrial Service Oil Company_ Inc.,Recycler,CAD099452708,October - December 2006,169265,,169265
JSE Environmental Services,Hauler,CAL000827857,Industrial Service Oil Company_ Inc.,Recycler,CAD099452708,October - December 2006,12126,,12126
Kern Oil Filter Recycling,Hauler,CAL000327867,Butler_ J.W._ Oil_ Inc.,Hauler,CAD981426539,October - December 2006,37791,,37791
Kern Oil Filter Recycling,Hauler,CAL000327867,San Joaquin Filter Recycling,Hauler,CAL000102751,October - December 2006,2555,,2555
Kern Oil Filter Recycling,Hauler,CAL000327867,Industrial Service Oil Company_ Inc.,Recycler,CAD099452708,October - December 2006,38936,,38936
Kern Oil Filter Recycling,Hauler,CAL000327867,Butler_ J.W._ Oil_ Inc.,Transfer Station,CAD981426539,October - December 2006,37791,,37791
Kern Oil Filter Recycling,Hauler,CAL000327867,San Joaquin Filter Recycling,Transfer Station,CAL000102751,October - December 2006,2555,,2555
Knight_ Jim_ Drain Oil Service,Hauler,CAL000027718,Demenno/Kerdoon,Recycler,CAT080013352,October - December 2006,640,,640
Knight_ Jim_ Drain Oil Service,Hauler,CAL000027718,Industrial Service Oil Company_ Inc.,Recycler,CAD099452708,October - December 2006,400,,400
Knight_ Jim_ Drain Oil Service,Hauler,CAL000027718,Evergreen Environmental Services (Carson),Recycler,CAD981696420,October - December 2006,186125,,186125
Leach Oil Company_ Inc.,Hauler,CAD050099696,Industrial Service Oil Company_ Inc.,Recycler,CAD099452708,October - December 2006,240967,,240967
Los Angeles Pumping,Hauler,CAR000201459,Butler_ J.W._ Oil_ Inc.,Hauler,CAD981426539,October - December 2006,122900,,122900
Los Angeles Pumping,Hauler,CAR000201459,Demenno/Kerdoon,Recycler,CAT080013352,October - December 2006,400,,400
Los Angeles Pumping,Hauler,CAR000201459,Butler_ J.W._ Oil_ Inc.,Transfer Station,CAD981426539,October - December 2006,122900,,122900
Lowry_ George W._ Inc.,Hauler,CAR000047019,Riverbank Oil Transfer,Recycler,CAL000190816,October - December 2006,80720,,80720
Lowry_ George W._ Inc.,Hauler,CAR000047019,Riverbank Oil Transfer,Transfer Station,CAL000190816,October - December 2006,80720,,80720
Millennium Waste Oil,Hauler,CAL000293834,Butler_ J.W._ Oil_ Inc.,Hauler,CAD981426539,October - December 2006,116900,,116900
Millennium Waste Oil,Hauler,CAL000293834,Demenno/Kerdoon,Recycler,CAT080013352,October - December 2006,9700,,9700
Millennium Waste Oil,Hauler,CAL000293834,Butler_ J.W._ Oil_ Inc.,Transfer Station,CAD981426539,October - December 2006,116900,,116900
North Valley Oil Company,Hauler,CAL000027759,Alviso Independent Oil_ Inc.,Transfer Station,CAL000161743,October - December 2006,42140,,42140
Oil Conservation Service,Hauler,CAD980673842,Riverbank Oil Transfer,Recycler,CAL000190816,October - December 2006,18228,,18228
Oil Conservation Service,Hauler,CAD980673842,Riverbank Oil Transfer,Transfer Station,CAL000190816,October - December 2006,18228,,18228
Pacific Oil Company,Hauler,CAD983615501,Butler_ J.W._ Oil_ Inc.,Hauler,CAD981426539,October - December 2006,1815,,1815
Pacific Oil Company,Hauler,CAD983615501,Demenno/Kerdoon,Recycler,CAT080013352,October - December 2006,22450,,22450
Pacific Oil Company,Hauler,CAD983615501,Industrial Service Oil Company_ Inc.,Recycler,CAD099452708,October - December 2006,50690,,50690
Pacific Oil Company,Hauler,CAD983615501,Butler_ J.W._ Oil_ Inc.,Transfer Station,CAD981426539,October - December 2006,1815,,1815
Patriot Environmental Services,Hauler,CAD053866794,Demenno/Kerdoon,Recycler,CAT080013352,October - December 2006,2273,,2273
Philip Services Corp.(Philip West Ind Svcs),Hauler,CAD980584510,Evergreen Environmental Services,Recycler,CAD982446858,October - December 2006,77335,,77335
Philip West Industrial Services,Hauler,CAR000177527,Romic Environmental Technologies Corporation,Hauler,CAD009452657,October - December 2006,500,,500
Philip West Industrial Services,Hauler,CAR000177527,Rho-Chem Corporation,Hauler,CAD008364432,October - December 2006,197,,197
Philip West Industrial Services,Hauler,CAR000177527,Chemical Waste Management Inc.,Hauler,CAT000646117,October - December 2006,950,,950
Philip West Industrial Services,Hauler,CAR000177527,21st Century EMI,Hauler,NVD980895338,October - December 2006,2568,,2568
Philip West Industrial Services,Hauler,CAR000177527,Evergreen Oil,Recycler,CAD980887418,October - December 2006,44790,,44790
Philip West Industrial Services,Hauler,CAR000177527,Veoliaes (formerly) Onyx Environmental Servic,Recycler,CAD008302903,October - December 2006,11608,,11608
Philip West Industrial Services,Hauler,CAR000177527,Rho-Chem Corporation,Recycler,CAD008364432,October - December 2006,197,,197
Philip West Industrial Services,Hauler,CAR000177527,Burlington Environmental,Recycler,WAD991281767,October - December 2006,9107,,9107
Philip West Industrial Services,Hauler,CAR000177527,Clean Harbors Aragonite,Recycler,UDT981552177,October - December 2006,8840,,8840
Philip West Industrial Services,Hauler,CAR000177527,Veolia ES Technical Solutions,Recycler,AZ0000337360,October - December 2006,181,,181
Philip West Industrial Services,Hauler,CAR000177527,Veolia ES Technical Solutions,Recycler,AZ0000337360,October - December 2006,11608,,11608
Philip West Industrial Services,Hauler,CAR000177527,EMS_ Inc.,Recycler,AZR000031823,October - December 2006,74981,,74981
PSC Environmental Services of Pomona LP,Hauler,CAR000053405,Demenno/Kerdoon,Recycler,CAT080013352,October - December 2006,2766,,2766
Rae-Vac Pumping,Hauler,CAR000053272,Evergreen Environmental Services (Carson),Recycler,CAD981696420,October - December 2006,37340,,37340
Ramos Environmental Services,Hauler,CAD044003556,Ramos Environmental Services,Hauler,CAD044003556,October - December 2006,243399,,243399
Ramos Environmental Services,Hauler,CAD044003556,Ramos Environmental Services,Transfer Station,CAD044003556,October - December 2006,243399,,243399
RCM Transportation,Hauler,AZR000500534,Thermo Fluids - Phoenix,Hauler,AZR000003681,October - December 2006,203000,,203000
RCM Transportation,Hauler,AZR000500534,Thermo Fluids - Phoenix,Recycler,AZR000003681,October - December 2006,203000,,203000
Real Deal Waste Oil Service,Hauler,CAL000280873,Industrial Service Oil Company_ Inc.,Recycler,CAD099452708,October - December 2006,109055,,109055
Recycle-It Environmental Services,Hauler,CAL000280060,Industrial Service Oil Company_ Inc.,Recycler,CAD099452708,October - December 2006,113740,,113740
Romic Environmental Technologies Corporation,Hauler,CAD009452657,Evergreen Oil,Recycler,CAD980887418,October - December 2006,12667,,12667
Sacramento Waste Oil,Hauler,CAL913534912,Ramos Environmental Services,Hauler,CAD044003556,October - December 2006,51368,,51368
Sacramento Waste Oil,Hauler,CAL913534912,Ramos Environmental Services,Transfer Station,CAD044003556,October - December 2006,51368,,51368
San Fernando Oil,Hauler,CAL000301304,Butler_ J.W._ Oil_ Inc.,Hauler,CAD981426539,October - December 2006,50815,,50815
San Fernando Oil,Hauler,CAL000301304,Evergreen Environmental Services (Carson),Recycler,CAD981696420,October - December 2006,1225,,1225
San Fernando Oil,Hauler,CAL000301304,Butler_ J.W._ Oil_ Inc.,Transfer Station,CAD981426539,October - December 2006,50815,,50815
Starlite Reclamation,Hauler,CAL000063809,Butler_ J.W._ Oil_ Inc.,Hauler,CAD981426539,October - December 2006,55502,,55502
Starlite Reclamation,Hauler,CAL000063809,Butler_ J.W._ Oil_ Inc.,Transfer Station,CAD981426539,October - December 2006,55502,,55502
Swift Oil   Vacuum_ Inc.,Hauler,CAD982488470,Industrial Service Oil Company_ Inc.,Recycler,CAD099452708,October - December 2006,91710,,91710
Tadeo_ Ricardo D. Waste Oil Service,Hauler,CAD981634363,Demenno/Kerdoon,Recycler,CAT080013352,October - December 2006,197370,,197370
TTS Environmental_ Inc.,Hauler,CAD981694722,Oil Re-Refining Company_ Inc. (ORRCO) - Klamath Fa,Recycler,ORD980980775,October - December 2006,109474,,109474
Universal Waste Oil Company,Hauler,CAL000183236,Industrial Service Oil Company_ Inc.,Recycler,CAD099452708,October - December 2006,72565,,72565
Action Waste Oil Service_ LLC,Hauler,CAL000280876,Industrial Service Oil Company_ Inc.,Recycler,CAD099452708,January - March 2007,200047,,200047
Action Waste Oil Service_ LLC,Hauler,CAL000280876,Evergreen Environmental Services (Carson),Recycler,CAD981696420,January - March 2007,60000,,60000
Advanced Environmental_ Inc.,Recycler,CAT080025711,Demenno/Kerdoon,Recycler,CAT080013352,January - March 2007,2730309,,2730309
Alarcon's_ Mark_ Waste Oil Service,Hauler,CAD980814446,Demenno/Kerdoon,Recycler,CAT080013352,January - March 2007,45570,,45570
All Petroleum Recovery Service LLC,Hauler,CAD981377633,Alviso Independent Oil_ Inc.,Transfer Station,CAL000161743,January - March 2007,145360,,145360
All Valley Disposal Inc.,Hauler,CAR000181586,Ramos Environmental Services,Hauler,CAD044003556,January - March 2007,53115,,53115
All Valley Disposal Inc.,Hauler,CAR000181586,Ramos Environmental Services,Transfer Station,CAD044003556,January - March 2007,53115,,53115
All Valley Environmental,Hauler,CAL000263169,Industrial Service Oil Company_ Inc.,Recycler,CAD099452708,January - March 2007,35615,,35615
